Name	Description	Price	SKU	Link
#category:MICROCONTROLLERS				
ESP 32	ESP32 WiFi and Bluetooth Board with Separate Headers - CP2104-CH9102F	12,34	001447	https://www.tinytronics.nl/en/development-boards/microcontroller-boards/with-wi-fi/esp32-wifi-and-bluetooth-board-with-separate-headers-cp2104?sort=p.price&order=ASC
Arduino Nano	Nano V3.0 - USB-C - Compatible - Separate Headers	12,34	004270	https://www.tinytronics.nl/en/development-boards/microcontroller-boards/arduino-compatible/nano-v3.0-usb-c-compatible-separate-headers
Arduino Uno	Uno R3 - Compatible - USB-B	12,34	001142	https://www.tinytronics.nl/en/development-boards/microcontroller-boards/arduino-compatible/uno-r3-compatible-usb-b
Micro SD Card	Kingston Canvas Select Plus 64GB Class 10 UHS-I A1 microSD card with SD Card Adapter	12,34	002721	https://www.tinytronics.nl/en/data-storage/sd-cards/kingston-canvas-select-plus-64gb-class-10-uhs-i-a1-microsd-card-with-sd-kaart-adapter?sort=p.price&order=ASC
#category:COMPONENTS				
Component Starter Kit	Component Starter Kit	12,34	001078	https://www.tinytronics.nl/en/cables-and-connectors/connectors/pin-headers/male/component-starter-kit
Mini Servo (0-180)	SG90 Mini Servo (0-180)	12,34	000108	https://www.tinytronics.nl/nl/mechanica-en-actuatoren/motoren/servomotoren/sg90-mini-servo
Mini Servo (continuous)	TS90D Mini Servo (continuous)	12,34	002429	https://www.tinytronics.nl/nl/mechanica-en-actuatoren/motoren/servomotoren/ts90d-mini-servo-1.6kg-continuous
Resistor Set	Resistor Set	12,34	000299	https://www.tinytronics.nl/nl/componenten/weerstanden/weerstanden/10%CF%89-1m%CF%89-weerstanden-set
Ultrasonic Sensor	Ultrasonic Sensor - HC-SR04	12,34	000065	https://www.tinytronics.nl/en/sensors/distance/ultrasonic-sensor-hc-sr04
LDR	GL5528 LDR Light sensitive resistor	12,34	000759	https://www.tinytronics.nl/en/sensors/optical/light-and-color/gl5528-ldr-light-sensitive-resistor
Rotary Encoder Module	Rotary Encoder Module	12,34	003721	https://www.tinytronics.nl/en/switches/manual-switches/rotary-encoders/rotary-encoder-module
LEDs	LED set 3mm - Green - Red - Yellow - Blue - White - 50 pieces - Bright	12,34	000303	https://www.tinytronics.nl/en/components/leds/leds/led-set-3mm-green-red-yellow-blue-white-50-pieces-bright
Potentiometer	10kΩ Standard Potentiometer - 1 Channel - Linear - 15mm	12,34	004294	https://www.tinytronics.nl/en/components/resistors/potentiometers/10k%CF%89-potentiometer-standard-15mm
Breadboard Big	Breadboard 830 points	12,34	000071	https://www.tinytronics.nl/en/tools-and-mounting/prototyping-supplies/breadboards/breadboard-830-points
Breadboard Small	Breadboard 400 points	12,34	000070	https://www.tinytronics.nl/en/tools-and-mounting/prototyping-supplies/breadboards/breadboard-400-points
#category:CABLES				
Alligator Clips	Alligator Clips	12,34	004705	https://www.tinytronics.nl/en/cables-and-connectors/cables-and-adapters/alligator-clip/goobay-alligator-clip-cable-set-50cm-10-pieces
Jumper Wire MF	DuPont Jumper wire Male-Female 10cm 10 wires	12,34	000542	https://www.tinytronics.nl/en/cables-and-connectors/cables-and-adapters/prototyping-wires/dupont-compatible-and-jumper/dupont-jumper-wire-male-female-10cm-10-wires
Jumper Wire MM	DuPont Jumper wire Male-Male 10cm 10 wires	12,34	000544	https://www.tinytronics.nl/en/cables-and-connectors/cables-and-adapters/prototyping-wires/dupont-compatible-and-jumper/dupont-jumper-wire-male-male-10cm-10-wires
Jumper Wire FF	DuPont Jumper wire Female-Female 10cm 10 wires	12,34	000539	https://www.tinytronics.nl/en/cables-and-connectors/cables-and-adapters/prototyping-wires/dupont-compatible-and-jumper/dupont-jumper-wire-female-female-10cm-10-wires
USB-B -> USB-A (30cm)	USB-B USB kabel - 30cm	12,34	000927	https://www.tinytronics.nl/nl/kabels-en-connectoren/kabels-en-adapters/usb/usb-b/usb-b-usb-kabel-30cm
USB-C -> USB-C (0.5m)	Goobay 59118 USB-C USB-A 2.0 Kabel - 0.5m - 3A - Zwart	12,34	005551	https://www.tinytronics.nl/nl/kabels-en-connectoren/kabels-en-adapters/usb/usb-c/goobay-59118-usb-c-usb-a-2.0-kabel-0.5m-3a-zwart?sort=p.price&order=ASC
USB-A -> Micro-USB (30cm)	Micro USB USB-A Kabel - 30cm	12,34	000291	https://www.tinytronics.nl/nl/kabels-en-connectoren/kabels-en-adapters/usb/micro-usb/micro-usb-kabel-30cm
USB-C -> USB-C (1m)	Goobay 66318 USB-C USB-C 2.0 Kabel - 1m - 3A - Zwart	12,34	006735	https://www.tinytronics.nl/nl/kabels-en-connectoren/kabels-en-adapters/usb/usb-c/goobay-66318-usb-c-usb-c-2.0-kabel-1m-3a-zwart